Timestamp,Duration (seconds)
2025-02-21 12:51:05,2.336
2025-02-21 12:52:39,2.19
2025-02-21 12:52:40,0.276
2025-02-21 12:52:45,3.539
2025-02-21 12:53:17,0.969
2025-02-21 12:53:18,0.119
2025-02-21 12:53:19,1.324
